ymd,open,high,low,close,volume,change_rate,trading_value,trading_value_institution,trading_value_other_corporation,trading_value_individual,trading_value_foreign,volume_institution,volume_other_corporation,volume_individual,volume_foreign,sma_5,ema_5,sma_20,ema_20,sma_60,ema_60,sma_120,ema_120,sma_240,ema_240,sma_480,ema_480,RSI,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,obv,mfi,fib_0,fib_23.6,fib_38.2,fib_50,fib_61.8,fib_100,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,cci,vwap,atr,adx,pivot,r1,s1,r2,s2,avg_volume_5,avg_trading_value_5
2023-01-02,9400.0,9700.0,9340.0,9500.0,189606.0,2.591792656587473,1801.257,8542270,126703580,-385725820,250479970,898,13323,-40336,26115,,,,,,,,,,,,,,,,,,,,,,189606.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9490.0,,9500.0,,,9513.333333333334,9686.666666666668,9326.666666666668,9873.333333333334,9153.333333333334,,
2023-01-03,9440.0,9620.0,9040.0,9200.0,188464.0,-3.1578947368421053,1733.8688,71985730,94676250,210766510,-377428490,7742,10425,22568,-40735,,,,,,,,,,,,,,,,,,,,,,1142.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9430.0,,9350.45309069749,,,9286.666666666666,9533.333333333332,8953.333333333332,9866.666666666666,8706.666666666666,,
2023-01-04,9250.0,9420.0,9250.0,9330.0,66861.0,1.4130434782608696,623.81313,-3936760,186600,-159664390,163414550,-421,20,-17067,17468,,,,,,,,,,,,,,,,,,,,,,68003.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9430.0,,9347.379548739018,,,9333.333333333334,9416.666666666668,9246.666666666668,9503.333333333334,9163.333333333334,,
2023-01-05,9370.0,9570.0,9350.0,9350.0,85184.0,0.21436227224008575,796.4704,-11051940,0,-142550210,153602150,-1178,0,-14905,16083,,,,,,,,,,,,,,,,,,,,,,153187.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9400.0,,9347.800628165587,,,9423.333333333334,9496.666666666668,9276.666666666668,9643.333333333334,9203.333333333334,,
2023-01-06,9410.0,9440.0,9300.0,9410.0,59063.0,0.6417112299465241,555.78283,-19816640,2808000,65722630,-48713990,-2112,300,7005,-5193,9358.0,9358.0,,,,,,,,,,,,,,,,,,,,212250.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9270.0,,9354.035894076154,,,9383.333333333334,9466.666666666668,9326.666666666668,9523.333333333334,9243.333333333334,117835.6,1102.238432
2023-01-09,9450.0,9530.0,9410.0,9490.0,116089.0,0.8501594048884166,1101.68461,-71749010,7818230,-77966230,141897010,-7568,828,-8240,14980,9356.0,9402.0,,,,,,,,,,,,,,,,,,,,328339.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9340.0,,9376.415981465176,,,9476.666666666666,9543.333333333332,9423.333333333332,9596.666666666666,9356.666666666666,103132.2,962.3239540000001
2023-01-10,9460.0,9500.0,9390.0,9390.0,72948.0,-1.053740779768177,684.98172,-52783090,10405840,308660390,-266283140,-5610,1104,32734,-28228,9394.0,9398.0,,,,,,,,,,,,,,,,,,,,255391.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9220.0,,9377.689314649551,,,9426.666666666666,9463.333333333332,9353.333333333332,9536.666666666666,9316.666666666666,80029.0,752.5465379999999
2023-01-11,9480.0,9540.0,9430.0,9470.0,79785.0,0.8519701810436635,755.56395,511740,-138694500,-78487400,216670160,54,-14604,-8265,22815,9422.0,9422.0,,,,,,,,,,,,,,,,,,,,335176.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,,,,,9320.0,,9386.27324009324,,,9480.0,9530.0,9420.0,9590.0,9370.0,82613.8,778.896702
2023-01-12,9480.0,9510.0,9340.0,9400.0,97583.0,-0.7391763463569165,917.2802,-441770,-45938050,163915700,-117535880,-47,-4900,17464,-12517,9432.0,9414.666666666666,,,,,,,,,,,,,,,,,,,,237593.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9370.0,,,,9280.0,,9387.675000497078,,,9416.666666666666,9493.333333333332,9323.333333333332,9586.666666666666,9246.666666666666,85093.6,803.058662
2023-01-13,9390.0,9400.0,9270.0,9330.0,102426.0,-0.7446808510638299,955.63458,1128310,-116619050,178595070,-63104330,121,-12553,19190,-6758,9416.0,9386.444444444443,,,,,,,,,,,,,,,,,,,,135167.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9330.0,,,,9120.0,,9382.091475592362,,,9333.333333333334,9396.666666666668,9266.666666666668,9463.333333333334,9203.333333333334,93766.2,883.029012
2023-01-16,9330.0,9350.0,9260.0,9340.0,65677.0,0.10718113612004287,613.42318,35704360,114956410,-171734540,21073770,3827,12280,-18370,2263,9386.0,9370.962962962962,,,,,,,,,,,,,,,,,,,,200844.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9410.0,,,,9170.0,,9379.631320493447,,,9316.666666666666,9373.333333333332,9283.333333333332,9406.666666666666,9226.666666666666,83683.8,785.376726
2023-01-17,9300.0,9370.0,9230.0,9230.0,55289.0,-1.177730192719486,510.31747,9590180,930000,116283880,-126804060,1027,100,12521,-13648,9354.0,9323.975308641975,,,,,,,,,,,,,,,,,,,,145555.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9400.0,,,,9090.0,,9372.614236943107,,,9276.666666666666,9323.333333333332,9183.333333333332,9416.666666666666,9136.666666666666,80152.0,750.443876
2023-01-18,9230.0,9240.0,9130.0,9170.0,72001.0,-0.6500541711809318,660.24917,-13962130,33671580,142021450,-161730900,-1526,3671,15492,-17637,9294.0,9272.650205761316,,,,,,,,,,,,,,,,,,,,73554.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9335.0,,,,9090.0,,9360.952600209755,,,9180.0,9230.0,9120.0,9290.0,9070.0,78595.2,731.38092
2023-01-19,9110.0,9200.0,9050.0,9170.0,129930.0,0.0,1191.4581,49624970,-191746370,11175640,130945760,5424,-21166,1407,14335,9248.0,9238.433470507543,,,,,,,,,,,,,,,,,,,,73554.0,,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9295.0,,,,9020.0,-160.99290780141902,9342.985793384923,,,9140.0,9230.0,9080.0,9290.0,8990.0,85064.6,786.2165000000001
2023-01-20,9170.0,9260.0,9170.0,9200.0,52043.0,0.3271537622682661,478.7956,74541810,9200,-84368260,9817250,8103,1,-9169,1065,9222.0,9225.622313671696,,,,,,,,,,,36.607142857142854,,,,,,,,,125597.0,32.42800480365828,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9295.0,,,,9000.0,-96.9287794545945,9337.792719768813,174.28571428571428,,9210.0,9250.0,9160.0,9300.0,9120.0,74988.0,690.8487040000001
2023-01-25,9260.0,9280.0,9200.0,9210.0,69045.0,0.10869565217391304,635.90445,-22969590,0,-31276500,54246090,-2494,0,-3375,5869,9196.0,9220.41487578113,,,,,,,,,,,37.2108843537415,,,,,,,,,194642.0,41.943638287734416,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9295.0,,,,9020.0,-74.48310640443947,9331.918230032876,167.55102040816328,,9230.0,9260.0,9180.0,9310.0,9150.0,75661.6,695.344958
2023-01-26,9260.0,9280.0,9220.0,9270.0,52294.0,0.6514657980456027,484.76538,-92670,0,43092660,-42999990,-10,0,4659,-4649,9204.0,9236.943250520753,,,,,,,,,,,40.85083308685794,,,,,,,,,246936.0,41.158511251497465,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9280.0,,,,8970.0,-47.95321637426937,9329.8349919706,160.58309037900878,,9256.666666666666,9293.333333333332,9233.333333333332,9316.666666666666,9196.666666666666,75062.6,690.23454
2023-01-27,9290.0,9330.0,9240.0,9290.0,55507.0,0.2157497303128371,515.66003,61647800,0,-101154090,39506290,6646,0,-10892,4246,9228.0,9254.628833680503,,,,,,,,,,,42.05664063951027,,,,,,,40.68550497121925,33.419116916653856,302443.0,39.4788679178633,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9225.0,,,,9100.0,-21.276595744681423,9328.461450060411,155.54144106622243,,9286.666666666666,9333.333333333332,9243.333333333332,9376.666666666666,9196.666666666666,71763.8,661.316712
2023-01-30,9300.0,9370.0,9300.0,9330.0,65513.0,0.4305705059203444,611.23629,18421660,-5122660,-38161710,24862710,1981,-549,-4097,2665,9260.0,9279.752555787001,,,,,,,,,,,44.49380868257065,,,,,,,49.47671376242804,41.238865130490744,367956.0,45.29761203577687,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9210.0,,,,9070.0,16.805170821790842,9328.521615129875,150.14562384720654,,9333.333333333334,9366.666666666668,9296.666666666668,9403.333333333334,9263.333333333334,58880.4,545.27235
2023-01-31,9350.0,9400.0,9280.0,9380.0,54961.0,0.5359056806002144,515.53418,-6505250,28366430,-63577620,41716440,-691,3021,-6809,4479,9296.0,9313.168370524667,9323.0,9323.0,,,,,,,,,47.46820439592507,,,,9525.79053232338,9323.0,9120.20946767662,57.82312925170067,49.328449328449324,422917.0,41.934940280797946,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9225.0,,,,8990.0,43.62139917695496,9330.156796428764,147.99236500097751,,9353.333333333334,9426.666666666668,9306.666666666668,9473.333333333334,9233.333333333334,59464.0,552.620066
2023-02-01,9410.0,9450.0,9370.0,9430.0,64283.0,0.5330490405117271,606.18869,63449250,938000,-63047900,-1339350,6761,100,-6722,-139,9340.0,9352.112247016445,9319.5,9333.190476190477,,,,,,,,,50.33434922603042,,,,9512.111006954432,9319.5,9126.888993045568,67.3469387755102,58.21559392987964,487200.0,48.70476857850928,11070.0,9807.4,9026.3,8395.0,7763.7,5720.0,9250.0,,,,8760.0,99.89615784008261,9333.733299453012,143.1357675009077,,9416.666666666666,9463.333333333332,9383.333333333332,9496.666666666666,9336.666666666666,58511.6,546.676914
